nid,bib_number,title,year,publication,members,creator_1_name,creator_1_lcsh,creator_1_relator,creator_1_relator_old,creator_2_name,creator_2_lcsh,creator_2_relator,creator_2_relator_old,subjects,subjects_old,aps_subjects,aps_subjects_old,record_source,editions,editions_note,holding_note,references,external_permalink,external_permalink_old,aps_permalink,nid_old,created_by,admin_notes,needs_remediation
6596,155.001,"Account of the grand federal procession, Philadelphia, July 4, 1788 : to which is added, a letter on the same subject.",[1788],"[Philadelphia]: M. Carey, printer",4580|4471,"Wilson, James, 1742-1798",n85181074,Contributor,Contributor,,,,,1094,1094,60,60,ESTC,3x 1788 (Philadelphia),"Three editions. Two in 1788 (Philadelphia) and another edition that appeared in the periodical, The American museum or Repository of ancient and modern fugitive pieces ... v.4 (1788). Includes the Oration from APS Member James Wilson.",APS owns one copy of the edition published in The American museum.,Evans 21149|Evans 21150|Sabin 61411|Howes H 634,https://datb.cerl.org/estc/W36742,http://estc.bl.uk/W36742,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=217985,22060,JF,,
6210,250.002,"A charge delivered to the Grand Jury at a special circuit court held at Philadelphia on the twenty-first day of February, 1791, for the district of Pennsylvania, in the middle circuit.",[1791],"Philadelphia: Printed by James & Johnson, no. 147, High-Street",4471,"Wilson, James, 1742-1798",n85181074,Author,Author,,,,,,,40,40,AAS,1x 1791 (Philadelphia),One edition.,,,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=354420,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=354420,,23903,JA,,
6211,250.003,"Charge of the Hon. James Wilson, Esq., judge of the Federal Circuit Court for the district of Pennsylvania, to the grand jury of said court, delivered April 12, 1790.",1790,Philadelphia,4471,"Wilson, James, 1742-1798",n85181074,Contributor,Contributor,,,,,,,40,40,APS,1x 1790 (Philadelphia),One edition.,APS holds one copy.,,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=4150,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=4150,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=4150,23904,JA,,
6212,250.004,Considerations on the Bank of North-America.,1785,Philadelphia: Printed by Hall and Sellers,4471,"Wilson, James, 1742-1798",n85181074,Author,Author,,,,,343,343,60|16|3,3|60|16,ESTC,2x 1785 (Philadelphia),"Two editions. As AAS notes, ""The octavo edition published by Hall and Sellers in 1785 (Evans 19388) is attributed to James Wilson by Evans. The firm of Hall and Sellers published the Pennsylvania gazette in 1785. [Supplement] No. 2883 is dated Sept. 7, 1785.""",APS holds one copy.,Sabin 104628|Evans 19388,https://datb.cerl.org/estc/W8589,http://estc.bl.uk/W8589,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=90221,23905,JA,,
6213,250.005,Considerations on the nature and the extent of the legislative authority of the British Parliament.,[1774],"Philadelphia: Printed and sold, by William and Thomas Bradford, at the London Coffee-House",4471,"Wilson, James, 1742-1798",n85181074,Author,Author,,,,,2905,2905,60|3,3|60,ESTC,1x 1774 (Philadelphia),"One edition. Attributed to James Wilson by Adams, but sometimes attributed to John Witherspoon.","APS holds three copies: <a href=""https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=8080"">two of which</a> contain bibliographical references, and <a href=""https://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=23066"">one</a> that does not.",Sabin 104629|Evans 13775|Howes W526,https://datb.cerl.org/estc/W20076,http://estc.bl.uk/W20076,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=23066|http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=8080,23906,JA,,
6214,250.006,"An examination of the Constitution for the United States of America, submitted to the people by the general convention, at Philadelphia, the 17th. day of September, 1787, and since adopted and ratified by the conventions of eleven states, chosen for the purpose of considering it, being all that have yet decided on the subject : By an American citizen : To which is added, a speech of the Honorable James Wilson, Esquire, on the same subject.",[1788],"Philadelphia: Printed by Zachariah Poulson, Junr. in Fourth-Street, between Market and Arch-Streets",4471,"Wilson, James, 1742-1798",n85181074,Contributor,Contributor,"Coxe, Tench, 1755-1824",n50017905,Author,Author,,,60|3,3|60,ESTC,"1x 1788 (Philadelphia), 1x 1888 (Brooklyn)","Two editions: one in 1788 (Philadelphia), one in 1888 (Brooklyn). Attributed to Tench Coxe by Evans.",,Sabin 23356|Evans 21028,https://datb.cerl.org/estc/W11987,http://estc.bl.uk/W11987,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=20381,23907,JA,,
6215,250.007,"An introductory lecture to a course of law lectures : by James Wilson, L.L.D. : To which is added, a plan of the lectures.",[1791],Philadelphia: From the press of T. Dobson,4471,"Wilson, James, 1742-1798",n85181074,Author,Author,,,,,1579|1578,1579|1578,40,40,ESTC,1x 1791 (Philadelphia),One edition.,"APS holds one copy, which contains the autograph of Anthony Morris.",Sabin 104630|Evans 24007,https://datb.cerl.org/estc/W271,http://estc.bl.uk/W271,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=22391,23908,JA,,
6217,250.009,"The substance of a speech delivered by James Wilson, Esq. explanatory of the general principles of the proposed Faederal Constitution : upon a motion made by the Honorable Thomas M'Kean, in the Convention of the State of Pennsylvania : on Saturday the 24th of November, 1787.",[1787],"Philadelphia: Printed and sold by Thomas Bradford, in Front-Street, four doors below the coffee-house",4471,"Wilson, James, 1742-1798",n85181074,Author,Author,,,,,2907|716,2907|716,60|3,3|60,ESTC,1x 1787 (Philadelphia),"One edition. ""Reported by Alexander James Dallas.""--Evans.",,Sabin 104631|Evans 20889,https://datb.cerl.org/estc/W36275,http://estc.bl.uk/W36275,,23910,JA,,
6218,250.010,"The works of the Honourable James Wilson, L.L.D : late one of the associate justices of the Supreme Court of the United States, and professor of law in the College of Philadelphia : Published under the direction of Bird Wilson, Esquire.",1804,"Philadelphia: At the Lorenzo Press, printed for Bronson and Chauncey",4471,"Wilson, James, 1742-1798",n85181074,Author,,"Wilson, Bird, 1777-1859",n85239082,Editor,Editor,2270|3060|2927|2111|2105|339|2951|1300|1584,2105|2927|2270|1584|2111|1300|339|2951|3060,,,AAS,1x 1804 (Philadelphia),One edition. Contains his standalone corpus as well as many other smaller pamphlets.,"APS holds one copy, which was presented by Bird Wilson, Dec. 21, 1804.",Sabin 104632|Shaw-Shoemaker 7780,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=290247,https://catalog.mwa.org/vwebv/holdingsInfo?bibId=290247,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=137191,23911,JA,Took Bird Wilson's name out of brackets as I don't see any reason for them to be used (he's credit in the title). Added James Wilson as authors (shown in members and other metadata but not in author field),
6111,106.004,"A lecture on earthquakes; read in the chapel of Harvard-College in Cambridge, N.E. November 26th 1755 : on occasion of the great earthquake which shook New-England the week before.",1755,"Boston: New-England: Printed and sold by Edes & Gill, at their printing-office next to the prison in Queen-Street",4617,"Winthrop, John, 1714-1779",n79135372,Author,Author,,,,,857|855,857|855,63,63,ESTC,1x 1755,One edition.,"APS owns one copy, contains the autograph of J.E. DeKay.",Sabin 104853|Evans 7597,https://datb.cerl.org/estc/W20628,http://estc.bl.uk/W20628,http://opac.amphilsoc.org/cgi-bin/koha/opac-detail.pl?biblionumber=14072,24075,JF,,
