nid,error,error_num
6489,"Member White, William (4522) appears in members but not creators",4
6334,"Member Cutler, Manasseh (4273) is indicated by bib number but does not appear in creators",5
6334,"Member Cutler, Manasseh (4273) appears in members but not creators",4
6331,"Member Cutler, Manasseh (4273) is indicated by bib number but does not appear in creators",5
6331,"Member Cutler, Manasseh (4273) appears in members but not creators",4
6788,"Member Wells, Richard (4623) is indicated by bib number but does not appear in creators",5
6788,"Member Wells, Richard (4623) appears in members but not creators",4
6706,"Member Dick, Sir Alexander (4511) is indicated by bib number but does not appear in creators",5
6706,"Member Dick, Sir Alexander (4511) appears in members but not creators",4
5294,"Member Bordley, John Beale (4334) is indicated by bib number but does not appear in creators",5
5294,"Member Bordley, John Beale (4334) appears in members but not creators",4
5463,"Member Lavoisier, Antoine L. (4360) is indicated by bib number but does not appear in creators",5
5463,"Member Lavoisier, Antoine L. (4360) appears in members but not creators",4
5906,"Member Coste, Jean F. (4327) is indicated by bib number but does not appear in creators",5
5906,"Member Coste, Jean F. (4327) appears in members but not creators",4
6279,"Member Urbain du Bouexic, Luc (4253) is indicated by bib number but does not appear in creators",5
6279,"Member Urbain du Bouexic, Luc (4253) appears in members but not creators",4
5094,"Member Raynall, Guillaume T. F. (4351) is indicated by bib number but does not appear in creators",5
5094,"Member Raynall, Guillaume T. F. (4351) appears in members but not creators",4
5895,"Member Washington, George (4294) is indicated by bib number but does not appear in creators",5
5895,"Member Washington, George (4294) appears in members but not creators",4
5257,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5257,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5258,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5258,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5207,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5207,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5239,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5239,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5240,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5240,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5241,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5241,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5213,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5213,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5227,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5227,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5231,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5231,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5237,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5237,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5238,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
5238,"Member Barbe-Marbois, Francois (4300) appears in members but not creators",4
5200,"Member Barbe-Marbois, Francois (4300) is indicated by bib number but does not appear in creators",5
