nid,nid_old,heading,changed_from
387,387,Bible. N.T. Revelation--Commentaries,
388,388,Bible. New Testament--Sermons--Early works to 1800,
389,389,"Bible. Psalms, CXXVI, 3--Sermons--Early works to 1800",
390,390,"Bible. Psalms, XLII, 6--Sermons--Early works to 1800",
391,391,"Bible. Revelations, XIV, 13--Sermons--Early works to 1800",
392,392,"Bible. Timothy, 1st, IV, 6--Sermons--Early works to 1800",
370,370,Bible--Appreciation,
371,371,Bible--Children's use,
372,372,Bible--Chronology,
373,373,Bible--Juvenile poetry,
375,375,Bible--Publication and distribution,
374,374,"Bible--Publication and distribution--Societies, etc",
376,376,Bible--Sermons--Early works to 1800,
379,379,Bible Society of Salem & Vicinity,
377,377,Bible--Study and teaching,
378,378,Bible--Use,
393,393,Bibliography,
394,394,Bile,
395,395,Binders' tickets (Binding),
396,396,Biodling,
397,397|398,Biography,
402,402,Birds,
399,399,Birds--Dictionaries--French,
400,400,Birds--Early works to 1800,
401,401,Birds--Pictorial works,
404,404,Birmingham,
403,403,"Birmingham riots, Birmingham, England, 1791",
405,405,"Bituminous materials, Early works to 1800",
406,406,Black people--Jamaica,
407,407,Race--History--19th century,Black race
408,408,Blasphemy--United States,
409,409,Blind--Education--Pennsylvania--Philadelphia,
410,410,Blind stamps (Provenance),
411,411,Blind tooled leather (Binding),
412,412,Blisters--Early works to 1800,
413,413|414,Blood,
85,85,Blood Chemical Analysis,
415,415,Bodenkunde,
416,416,Body snatching--Poetry,
417,417,"Bolles, Lucius, 1779-1844",
418,418,Bone and Bones--anatomy & histology,
419,419,Bones,
420,420,Book industries and trade,
421,421,Book prices (Publishing)--France--Paris--1776,
428,428,Booksellers and bookselling,
424,424,"Booksellers and bookselling--Colportage, subscription trade, etc",
425,425,"Booksellers and bookselling--France--Colportage, subscription trade, etc.--History--18th century--Sources",
426,426,Booksellers and bookselling--New York (State)--New York,
427,427,Booksellers and bookselling--Pennsylvania--Philadelphia,
422,422,Books--Pirated editions,
423,423,Books--Taxation,
429,429|431,"Boston (Mass.)--History--Revolution, 1775-1783",
430,430,"Boston Massacre, 1770",
432,432,Botanical gardens--Pennsylvania--Philadelphia,
433,433,Botanique,
445,445|446|447,Botany,
442,442,"Botany, Economic",
443,443|444,"Botany, Medical",
434,434,Botany--Bibliography,
435,435|436,Botany--North America,
437,437,Botany--Pictorial works,
438,438,Botany--Sri Lanka--Early works to 1800,
439,439,Botany--Terminology--Early works to 1800,
440,440,Botany--United States,
441,441,Botany--Virginia,
449,449,"Bouquet, Henry, 1719-1765",
448,448|450,"Bouquet's Expedition, 1764",
451,451,Boycotts--New York (State)--New York,
452,452|453,"Braddock's Campaign, 1755",
454,454,Brandy,
455,455,Bread,
456,456,Breadfruit--Early works to 1800,
457,457,Bridges--Pennsylvania--Philadelphia,
458,458,Bristol (R.I. : Town)--Church history,
459,459,Bristol (R.I. : Town)--History,
460,460,Broadsides,
461,461,Brotherliness,
462,462,"Brown, Nicholas, 1729-1791",
464,464,Building,
463,463,Building materials,
465,465,Buildings,
466,466,Burglary--Massachusetts,
467,467,Burglary protection,
469,469,"Burr, Aaron, 1756-1836",
468,468,"Burr Conspiracy, 1805-1807",
